,Postcode,Borough,Neighbourhood
0,M6H,West Toronto,Dovercourt Village
1,M4A,North York,Victoria Village
2,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge"
3,M2H,North York,Hillcrest Village
4,M1M,Scarborough,"Cliffcrest, Cliffside"
5,M6L,North York,Downsview
6,M4N,Central Toronto,Lawrence Park
7,M4W,Downtown Toronto,Rosedale
8,M1X,Scarborough,Upper Rouge
9,M5X,Downtown Toronto,"First Canadian Place, Underground city"
10,M8Y,Etobicoke,"Humber Bay, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea"
11,M6P,West Toronto,High Park
12,M5M,North York,Bedford Park
13,M6K,West Toronto,"Exhibition Place, Parkdale Village"
14,M1N,Scarborough,Birch Cliff
15,M6A,North York,"Lawrence Heights, Lawrence Manor"
16,M5L,Downtown Toronto,Commerce Court
17,M6R,West Toronto,"Parkdale, Roncesvalles"
18,M6S,West Toronto,"Runnymede, Swansea"
19,M1V,Scarborough,"Agincourt North, Milliken"
20,M3H,North York,"Bathurst Manor, Wilson Heights"
21,M4H,East York,Thorncliffe Park
22,M8Z,Etobicoke,"Mimico NW, The Queensway West"
23,M2R,North York,Willowdale West
24,M4B,East York,"Woodbine Gardens, Parkview Hill"
25,M1R,Scarborough,"Maryvale, Wexford"
26,M4E,East Toronto,The Beaches
27,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights"
28,M9R,Etobicoke,Kingsview Village
29,M1T,Scarborough,Tam O'Shanter
30,M5C,Downtown Toronto,St. James Town
31,M8V,Etobicoke,New Toronto
32,M9A,Etobicoke,Islington Avenue
33,M1E,Scarborough,"Morningside, West Hill"
34,M1J,Scarborough,Scarborough Village
35,M3L,North York,Downsview West
36,M5R,Central Toronto,"The Annex, Yorkville"
37,M4G,East York,Leaside
38,M4T,Central Toronto,Moore Park
39,M3A,North York,Parkwoods
40,M4K,East Toronto,Riverdale
41,M8W,Etobicoke,"Alderwood, Long Branch"
42,M9M,North York,"Emery, Humberlea"
43,M9V,Etobicoke,"Beaumond Heights, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown"
44,M9C,Etobicoke,Markland Wood
45,M4L,East Toronto,India Bazaar
46,M5A,Downtown Toronto,"Harbourfront, Regent Park"
47,M3K,North York,CFB Toronto
48,M5P,Central Toronto,Forest Hill North
49,M2J,North York,Henry Farm
50,M3C,North York,Flemingdon Park
51,M9B,Etobicoke,"Islington, Princess Gardens, West Deane Park"
52,M4C,East York,Woodbine Heights
53,M1K,Scarborough,"Ionview, Kennedy Park"
54,M2L,North York,York Mills
55,M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market"
56,M1G,Scarborough,Woburn
57,M5J,Downtown Toronto,"Toronto Islands, Union Station"
58,M6J,West Toronto,"Little Portugal, Trinity"
59,M2K,North York,Bayview Village
60,M9L,North York,Humber Summit
61,M2M,North York,"Newtonbrook, Willowdale"
62,M5S,Downtown Toronto,University of Toronto
63,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, South Niagara"
64,M8X,Etobicoke,The Kingsway
65,M4X,Downtown Toronto,"Cabbagetown, St. James Town"
66,M4Y,Downtown Toronto,Church and Wellesley
67,M6M,York,"Keelesdale, Mount Dennis, Silverthorn"
68,M9N,York,Weston
69,M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre"
70,M3J,North York,"Northwood Park, York University"
71,M4J,East York,East Toronto
72,M5E,Downtown Toronto,Berczy Park
73,M4V,Central Toronto,"Deer Park, Rathnelly, South Hill"
74,M1S,Scarborough,Agincourt
75,M1B,Scarborough,"Rouge, Malvern"
76,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union"
